/home/graham/Projects/GitTests/OpenField/TestSampleData/sampleVid.mp4
parse	hand	none	mouse
hand	1.0	9.765141e-17	3.2831284e-08
hand	0.9999995	5.4319255e-13	4.7860755e-07
hand	0.9999995	4.985452e-13	4.5106395e-07
hand	0.9999994	4.8803875e-13	5.471611e-07
hand	0.9999999	3.5024699e-13	1.48615e-07
hand	1.0	5.215263e-13	4.492343e-08
hand	1.0	6.0418077e-13	4.329161e-08
hand	1.0	6.157318e-13	4.2492104e-08
hand	1.0	1.1254589e-11	4.5659252e-08
hand	0.9999999	9.5972855e-11	1.1374469e-07
hand	1.0	2.7260377e-12	4.1504215e-08
hand	1.0	2.7934371e-12	4.309323e-08
hand	1.0	2.559723e-12	4.3236735e-08
hand	0.9999999	1.164877e-13	6.167559e-08
hand	0.9999999	5.391635e-15	1.4658315e-07
hand	0.9999999	5.613989e-15	1.3587737e-07
hand	0.9999999	5.898624e-15	1.3891083e-07
hand	0.99997306	1.5429491e-13	2.6946473e-05
hand	0.99999917	1.0129748e-18	8.0862685e-07
hand	1.0	3.2214272e-19	3.4432739e-09
hand	1.0	3.146875e-19	3.1842162e-09
hand	1.0	3.864673e-19	3.426247e-09
hand	1.0	3.5629974e-17	1.4556933e-08
hand	0.9999635	1.3351279e-13	3.6484034e-05
hand	0.99996424	1.1845608e-13	3.5748282e-05
hand	0.99996424	1.383118e-13	3.5776073e-05
hand	0.99999166	2.1523268e-11	8.3663845e-06
hand	0.999959	4.0122452e-13	4.0989886e-05
hand	0.999961	3.4702037e-13	3.895328e-05
hand	0.9999796	1.5082887e-14	2.0400756e-05
hand	0.9999809	1.56908e-14	1.9037068e-05
hand	0.9742019	8.2449735e-11	0.025798054
hand	0.97298855	9.2390165e-11	0.027011419
mouse	0.010503612	7.0531164e-06	0.9894894
mouse	0.00087967404	5.7401217e-06	0.9991146
mouse	0.0009789014	5.383354e-06	0.9990157
mouse	0.0010198097	5.2478936e-06	0.9989749
mouse	0.0002745757	9.205369e-06	0.9997162
mouse	0.00015954567	4.4181556e-06	0.99983597
mouse	0.0001358349	9.991585e-07	0.99986315
mouse	0.0001321183	9.746437e-07	0.99986684
mouse	0.00014124288	1.0145362e-06	0.99985766
mouse	9.221732e-05	1.0456639e-06	0.9999068
mouse	0.0001157307	9.1675975e-07	0.9998833
mouse	0.00011152944	8.486784e-07	0.9998876
mouse	0.00010883494	9.2768585e-07	0.9998902
mouse	9.542052e-05	3.9995834e-07	0.99990416
mouse	4.1734413e-05	7.893924e-08	0.99995816
mouse	3.308594e-05	6.792831e-08	0.99996686
mouse	3.2649226e-05	7.632e-08	0.9999672
mouse	3.3277254e-05	7.596037e-08	0.9999666
mouse	8.586678e-05	6.261876e-07	0.99991345
mouse	0.00016807384	9.680314e-06	0.9998223
mouse	0.00016807602	9.131639e-06	0.9998228
mouse	0.00015806746	8.269058e-06	0.9998336
mouse	0.00027497803	1.0311906e-05	0.9997147
mouse	0.0006819809	2.0297743e-05	0.99929774
mouse	0.0008940273	1.3803462e-05	0.9990922
mouse	0.00090519333	1.28807305e-05	0.99908197
mouse	0.0009993719	1.4123284e-05	0.99898654
mouse	0.0008183808	1.7990578e-05	0.9991636
mouse	0.001236959	4.775355e-05	0.9987153
mouse	0.0012825755	4.1289706e-05	0.9986761
mouse	0.0012514692	5.1020343e-05	0.9986975
mouse	0.0037147042	0.00016310801	0.9961222
mouse	0.0043699006	7.873686e-05	0.99555135
mouse	0.0027002476	7.619002e-05	0.9972236
mouse	0.0026902223	7.266354e-05	0.9972371
mouse	0.0025784208	7.563652e-05	0.9973459
mouse	0.004275665	6.963933e-05	0.9956547
mouse	0.0060657267	6.0649025e-05	0.9938736
mouse	0.006141576	6.14821e-05	0.99379694
mouse	0.0062838146	6.2242194e-05	0.9936539
mouse	0.007530988	2.4828074e-05	0.9924442
mouse	0.005202148	3.397847e-05	0.99476385
mouse	0.0014868709	2.1776286e-05	0.9984913
